"Geo_Code","Prov_Name","CSD_Name","total_pop","median_income","female_ratio","0_14y_ratio","15_24y_ratio","25_44y_ratio","45_over_ratio","non_movers_ratio","trade_cert_ratio","non_uni_dip_ratio","uni_dip_ratio","total_postsec_ratio","primary_ind_ratio","year","period"
"1004037","Newfoundland and Labrador","LOURDES","  932","11082",0.5108,0.3656,0.2097,0.2419,0.1774,0.6352,0.0319,0.0957,0.0426,0.1702,0.24,1981,0
"1004042","Newfoundland and Labrador","PORT AU PORT WEST-AGUATHUNA-FELIX COVE","  938","12916",0.5027,0.3209,0.2513,0.2299,0.2032,0.6667,0.0521,0.1979,0.0312,0.2812,0.0308,1981,0
"1005001","Newfoundland and Labrador","DIVISION NO. 5, SUBD. A","  550","14969",0.4545,0.3091,0.2182,0.2636,0.2,0.6296,0.0328,0.1475,0.0328,0.2131,0.2051,1981,0
"1005003","Newfoundland and Labrador","DIVISION NO. 5, SUBD. G"," 1535","17403",0.4675,0.3734,0.1883,0.2435,0.1948,0.737,0.019,0.0759,0.019,0.1139,0.2231,1981,0
"1005004","Newfoundland and Labrador","DEER LAKE"," 4348","18045",0.5017,0.2911,0.206,0.2578,0.2463,0.6952,0.0277,0.1581,0.0316,0.2174,0.1061,1981,0
"1005006","Newfoundland and Labrador","HOWLEY","  456","16062",0.4783,0.3043,0.2283,0.2391,0.2174,0.6528,0.0392,0.0588,0.0392,0.1373,0.1429,1981,0
"1005007","Newfoundland and Labrador","DIVISION NO. 5, SUBD. E","  627","22535",0.48,0.328,0.224,0.264,0.168,0.7073,0.0299,0.1343,0.0299,0.194,0.1538,1981,0
"1005008","Newfoundland and Labrador","HAMPDEN","  838","13275",0.4643,0.3452,0.2321,0.244,0.1845,0.763,0.0449,0.0225,0.0337,0.1011,0.2045,1981,0
"1005009","Newfoundland and Labrador","REIDVILLE","  413","13801",0.494,0.3494,0.1807,0.2892,0.1205,0.679,0.125,0.125,0,0.25,0.2273,1981,0
"1005010","Newfoundland and Labrador","DIVISION NO. 5, SUBD. F","  362","16990",0.4444,0.2639,0.1806,0.3056,0.2083,0.2419,0,0.1667,0.119,0.2857,0.0714,1981,0
"1005011","Newfoundland and Labrador","STEADY BROOK","  377","24701",0.5325,0.2468,0.1558,0.2987,0.2208,0.4375,0,0.186,0.093,0.2791,0.0571,1981,0
"1005012","Newfoundland and Labrador","PASADENA"," 2685","22966",0.5009,0.352,0.149,0.3687,0.1304,0.5159,0.0461,0.2204,0.0789,0.3454,0.0364,1981,0
"1005013","Newfoundland and Labrador","SOUTH BROOK","  477","20881",0.4842,0.3053,0.2526,0.2526,0.1789,0.6098,0.0392,0.1765,0.0784,0.2941,0.0556,1981,0
"1005014","Newfoundland and Labrador","CORMACK","  788","13582",0.5,0.3734,0.1772,0.2722,0.1835,0.5401,0,0.1566,0.0361,0.1928,0.3,1981,0
"1005015","Newfoundland and Labrador","GILLAMS","  488","13402",0.5102,0.3061,0.1837,0.3061,0.1939,0.7778,0,0.1071,0.0357,0.1429,0.1176,1981,0
"1005016","Newfoundland and Labrador","DIVISION NO. 5, SUBD. C","7","..",0.5,0.5,0,0,0.5,NA,NA,NA,NA,NA,NA,1981,0
"1005017","Newfoundland and Labrador","MASSEY DRIVE","  409","24755",0.5122,0.2439,0.2561,0.2927,0.1707,0.6389,0.0435,0.1739,0,0.2174,0,1981,0
"1005018","Newfoundland and Labrador","CORNER BROOK","24339","22290",0.5039,0.25,0.2186,0.272,0.2594,0.6448,0.0289,0.1624,0.0643,0.2556,0.0128,1981,0
"1005019","Newfoundland and Labrador","DIVISION NO. 5, SUBD. D","14","..",0.6667,0.6667,0,0.6667,0,NA,NA,NA,NA,NA,NA,1981,0
"1005020","Newfoundland and Labrador","HALFWAY POINT AND OTHERS"," 2214","16064",0.4966,0.3454,0.2122,0.2709,0.1693,0.75,0.0299,0.1111,0,0.141,0.131,1981,0
"1005021","Newfoundland and Labrador","WOOD'S ISLAND","4","..",0,0,0,0,0,NA,NA,NA,NA,NA,NA,1981,0
"1005022","Newfoundland and Labrador","MCIVER'S","  736","16452",0.5102,0.3469,0.2177,0.2653,0.1633,0.9179,0.0267,0.04,0.0267,0.0933,0.1132,1981,0
"1005023","Newfoundland and Labrador","COX'S COVE","  980","11200",0.5102,0.3673,0.2194,0.2653,0.1378,0.7419,0,0.1064,0,0.1064,0.0921,1981,0
"1005024","Newfoundland and Labrador","LARK HARBOUR","  783","12088",0.4904,0.3567,0.1465,0.2866,0.2102,0.8322,0,0.1023,0.0341,0.1364,0.1786,1981,0
"1005025","Newfoundland and Labrador","MEADOWS","  656","14999",0.4885,0.3282,0.1756,0.3206,0.1527,0.7422,0.0278,0.1806,0.0417,0.25,0.04,1981,0
"1005026","Newfoundland and Labrador","SUMMERSIDE","  848","17876",0.4882,0.3118,0.1941,0.3118,0.1941,0.6879,0.0971,0.1262,0,0.2233,0.0441,1981,0
"1005027","Newfoundland and Labrador","IRISHTOWN","  742","16033",0.5068,0.3649,0.1892,0.3041,0.1284,0.7338,0.0256,0.1795,0,0.2051,0.0702,1981,0
"1005028","Newfoundland and Labrador","HUGHES BROOK","128","  0",0.4444,0.3333,0.1852,0.4074,0.0741,0.7692,0.125,0.375,0,0.5,0.5,1981,0
"1005033","Newfoundland and Labrador","MOUNT MORIAH","  751","16992",0.4834,0.3245,0.2053,0.2781,0.1921,0.7413,0.0814,0.1744,0,0.2558,0,1981,0
"1005035","Newfoundland and Labrador","YORK HARBOUR","  346","16899",0.4348,0.3043,0.2319,0.2754,0.2029,0.8429,0.0513,0.2051,0.0513,0.3077,0.2424,1981,0
"1006001","Newfoundland and Labrador","DIVISION NO. 6, SUBD. D","  333","19587",0.5,0.2576,0.1818,0.2121,0.303,0.7273,0.0513,0.2821,0,0.3333,0,1981,0
